gene_symbol,Toporsl
analysis_id,u768g147ly2i0m7
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:1915524
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.4534276
