gene_symbol,Ahctf1
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_027_001
gene_accession_id,MGI:1915033
mouse_strain,C57BL
parameter_name,Red blood cell distribution width
analysis_id,66w7ht7ybd1n2r0
pvalue,0.1025956
