analysis_id,749f7di29196oc8
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_accession_id,MGI:95457
mouse_strain,C3H
pvalue,0.1234887
gene_symbol,Mecom
parameter_id,MGP_IMM_017_001
