analysis_id,81eu559564a2323
mouse_life_stage,E9.5
pvalue,0.3901702
parameter_id,IMPC_CBC_001_001
parameter_name,Sodium
gene_accession_id,MGI:1917810
mouse_strain,C57BL
gene_symbol,Wars2
