gene_symbol,Rhbg
gene_accession_id,MGI:1927379
parameter_name,Eye
parameter_id,M-G-P_014_001_001
pvalue,0.3764947
mouse_strain,C57BL
analysis_id,692950i20f1bv4x
mouse_life_stage,Early adult
