pvalue,0.5341663
analysis_id,6lo208xwad4l4vz
mouse_strain,C57BL
gene_accession_id,MGI:1922745
gene_symbol,Morn5
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
