analysis_id,aookd6m7taeno53
mouse_strain,C57BL
gene_symbol,Trp53i11
parameter_name,Heart weight
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
parameter_id,IMPC_HWT_008_001
pvalue,0.907331
