parameter_name,Cornea vascularisation
analysis_id,j079009700d5233
mouse_life_stage,Early adult
pvalue,0.2143896
mouse_strain,C57BL
gene_symbol,Nemp2
parameter_id,ESLIM_014_001_008
gene_accession_id,MGI:2444113
