analysis_id,7cd074ziv59zj15
mouse_life_stage,Early adult
pvalue,0.2142864
parameter_id,JAX_OFD_022_001
gene_symbol,Atrn
gene_accession_id,MGI:1341628
parameter_name,Percentage center time
mouse_strain,C57BL
