parameter_name,18kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_008_001
pvalue,0.6839903
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Early adult
analysis_id,ovm39as39478409
