gene_symbol,Tatdn3
parameter_id,MGP_IMM_036_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
gene_accession_id,MGI:1916222
analysis_id,2y4t5273h3urrb0
pvalue,0.161457
