parameter_name,Hemoglobin
mouse_strain,C57BL
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
pvalue,0.3225377
parameter_id,IMPC_HEM_003_001
analysis_id,p0q601i314ylv5k
