analysis_id,puu68n7ykky75uf
pvalue,0.1672164
mouse_strain,C57BL
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,Early adult
