parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
parameter_name,Glucose
gene_symbol,Duoxa2
pvalue,0.725979
analysis_id,4kefpnr63p6w6u8
gene_accession_id,MGI:1914061
mouse_strain,C57BL
