gene_symbol,Tubb4b
mouse_strain,C57BL
parameter_name,lens
mouse_life_stage,Early adult
pvalue,0.8758026
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:1915472
analysis_id,xled9107re70x18
