parameter_id,UCD_OWT_008_001
pvalue,0.7976758
analysis_id,1x128b2i58w9010
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Liver weight
gene_symbol,Tnni1
