parameter_name,Placenta Morphology
pvalue,0.338362
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
analysis_id,dqvr535s36n58d5
mouse_life_stage,Early adult
gene_symbol,Ola1
gene_accession_id,MGI:1914309
