analysis_id,78410635vz65b8t
mouse_strain,C57BL
pvalue,0.9141443
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
parameter_id,IMPC_HEM_036_001
gene_symbol,Sema6c
parameter_name,Eosinophil cell count
