gene_symbol,CASQ1
mouse_strain,C57BL
gene_accession_id,MGI:1309468
parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
pvalue,0.6386665
analysis_id,58z5ihn516t4c75
mouse_life_stage,Early adult
