parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
analysis_id,16884i4zuy44wch
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1346088
mouse_strain,C57BL
gene_symbol,Cd52
pvalue,0.7444745
