gene_symbol,Pld1
parameter_name,Weight
parameter_id,M-G-P_005_001_001
mouse_life_stage,Early adult
pvalue,0.8671922
analysis_id,5q062fggz73naqn
mouse_strain,C57BL
gene_accession_id,MGI:109585
