gene_symbol,Trp53rkb
parameter_id,MGP_IMM_027_001
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
analysis_id,7q72v7o5g8bq276
mouse_strain,C57BL
gene_accession_id,MGI:1914050
pvalue,0.8518073
mouse_life_stage,Early adult
