parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
analysis_id,u5j8b75h08w694u
mouse_strain,C57BL
pvalue,0.8502159
gene_symbol,Zfp683
parameter_name,Tremor
