gene_symbol,Dmap1
analysis_id,902x9u3q273lt2o
pvalue,0.7659904
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
gene_accession_id,MGI:1913483
