gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Breath rate during sleep mean
analysis_id,6buekt6bh889383
pvalue,0.9077598
