gene_symbol,Tnni1
mouse_strain,C57BL
gene_accession_id,MGI:105073
parameter_id,ESLIM_007_001_003
mouse_life_stage,Early adult
analysis_id,qn6y5e0f58482a4
pvalue,0.3003419
parameter_name,Whole arena resting time
