analysis_id,kd2mfp5qq32l38s
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.1442641
parameter_id,MGP_IMM_121_001
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Macrophages - % of CD45+
