gene_symbol,Morn5
parameter_id,IMPC_CSD_047_001
pvalue,0.4208065
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
analysis_id,il812x8l6rh48ws
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
