parameter_name,Distance travelled - total
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
analysis_id,21hg5wn9930g48c
mouse_strain,C57BL
pvalue,0.7806671
gene_symbol,Wars2
parameter_id,HRWLLA_OFD_020_001
