gene_symbol,Sdcbp2
analysis_id,f9i0e3hogw3a249
gene_accession_id,MGI:2385156
parameter_name,Prepulse inhibition - PP4
mouse_strain,C57BL
pvalue,0.5624463
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_704
