gene_symbol,Arpc2
mouse_strain,129SV
gene_accession_id,MGI:1923959
analysis_id,2u4sdgzne028687
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_006_001
pvalue,0.4192445
mouse_life_stage,Early adult
