parameter_name,Retinal Blood Vessels Pattern
analysis_id,fu1naw8a77j2trd
parameter_id,IMPC_EYE_026_001
gene_symbol,Kdm5b
pvalue,0.6087203
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
mouse_strain,C57BL
