gene_symbol,Ilkap
mouse_strain,C57BL
gene_accession_id,MGI:1914694
parameter_name,Center average speed
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_017_001
pvalue,0.555736
analysis_id,2dwac9iioq6gw9u
