analysis_id,555z2d9zg8rr61y
parameter_id,JAXLA_DXA_009_001
gene_symbol,Tiprl
pvalue,0.8704422
gene_accession_id,MGI:1915087
parameter_name,Fat/Body weight
mouse_life_stage,E12.5
mouse_strain,C57BL
