analysis_id,1m72929xody2g17
mouse_strain,C57BL
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_life_stage,E9.5
pvalue,0.4997717
parameter_id,IMPC_CAL_008_001
parameter_name,Total food intake
