analysis_id,83r003x9sl3r0z9
mouse_strain,C57BL
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_id,JAX_OFD_015_001
pvalue,0.3594312
parameter_name,Center resting time
mouse_life_stage,Early adult
