gene_symbol,Golm2
parameter_name,Total NK cells - % of CD45+
pvalue,0.1945605
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
analysis_id,502gp592555d34x
