parameter_name,Neutrophil cell count
gene_accession_id,MGI:1913838
mouse_strain,C57BL
pvalue,0.5936911
analysis_id,oszrh1ya7887653
gene_symbol,Cmpk1
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Early adult
