parameter_name,Creatinine
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,1.153838
analysis_id,3qf35nf45o6pio6
