analysis_id,2z71pf6k79szz43
mouse_strain,C57BL
parameter_name,Mean right eye lens density
gene_symbol,Tnni1
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
pvalue,0.8559045
gene_accession_id,MGI:105073
