gene_symbol,Slc39a10
mouse_strain,C57BL
analysis_id,9u42e36385cuj8n
mouse_life_stage,E9.5
pvalue,0.6677253
gene_accession_id,MGI:1914515
parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
