analysis_id,7zi74997yk3f2vo
parameter_name,Spleen weight
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:3522699
mouse_strain,C57BL
pvalue,0.6255515
gene_symbol,Trpa1
