parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
pvalue,0.8877865
parameter_id,MGP_PBI_038_001
analysis_id,97w7ez6ww58c80p
