analysis_id,a24qllpb4sus17d
parameter_name,Resting Treg cells - % of Treg
pvalue,0.7326959
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
