analysis_id,93q25kx274in7ky
mouse_life_stage,Early adult
gene_symbol,Atrn
parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:1341628
pvalue,0.8727509
mouse_strain,C57BL
parameter_id,ESLIM_011_001_703
