mouse_strain,C57BL
gene_symbol,NUCKS1
analysis_id,t11a8x975ry4zt9
parameter_id,IMPC_GEL_017_002
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1934811
pvalue,0.8083142
parameter_name,Pale yolk sac
