parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:104848
analysis_id,ce8v89311n5053y
pvalue,0.1555781
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Inpp1
parameter_name,Retina (combined)
