parameter_name,Corneal opacity
analysis_id,ahk1w419l944u5g
mouse_strain,C57BL
pvalue,0.9920347
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
gene_symbol,Steap3
parameter_id,IMPC_EYE_008_001
