parameter_name,Bone Mineral Content
mouse_strain,C57BL
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
analysis_id,wrjabr49of3oz19
pvalue,0.6425186
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
