analysis_id,zp79fz8izwo6c8v
mouse_life_stage,Early adult
pvalue,0.2394531
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
parameter_id,IMPC_CSD_047_001
