parameter_name,Fractional Shortening
analysis_id,87l6c6lt64goy63
pvalue,0.2013357
parameter_id,IMPC_ECH_005_001
gene_symbol,Rhbg
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
