analysis_id,yk9u0isa9n531e0
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.4897851
parameter_id,MGP_IMM_066_001
mouse_strain,C57BL
parameter_name,CD11b-high cDC - % of cDC
mouse_life_stage,Early adult
