analysis_id,5nww4yvhibw8caq
gene_symbol,Col6a3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_name,% Freezing duration pre-cue-2
parameter_id,ICS_FEA_019_001
pvalue,0.9167261
