analysis_id,hk4myj2753w0636
parameter_id,HRWLLA_OFD_011_001
gene_symbol,Cisd2
parameter_name,Periphery resting time
mouse_strain,C57BL
gene_accession_id,MGI:1914256
pvalue,0.7384734
mouse_life_stage,Early adult
