Analysis_id,7o4916748f6q42x
Pvalue,0.8996634
Mouse_strain,C57BL
Gene_symbol,Trpa1
Gene_accession_id,MGI:3522699
Parameter_name,% Pre-pulse inhibition - PPI2
Parameter_id,IMPC_ACS_034_001
Mouse_life_stage,Early adult
