parameter_id,MGP_IMM_020_001
mouse_strain,129SV
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
gene_symbol,Cntfr
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,g6r017895c100w6
pvalue,0.5774199
