analysis_id,5g906dcg99v4ej4
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
pvalue,0.1067522
mouse_strain,C57BL
