gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,pmzvih440r60z3l
parameter_id,MGP_BMI_019_001
pvalue,0.7192482
parameter_name,T cells - % of CD45+
