analysis_id,583jsq9z9f9l87u
pvalue,0.4193712
mouse_strain,C57BL
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
