analysis_id,25vwfr54ic9qzs3
pvalue,0.8198777
parameter_name,Zygomatic bone
mouse_life_stage,Late adult
gene_symbol,Nucks1
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:1934811
mouse_strain,C57BL
