analysis_id,ae697q08db6x2nf
mouse_strain,C57BL
gene_symbol,Ola1
parameter_name,Number of rears - total
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
parameter_id,JAX_OFD_021_001
pvalue,0.1807145
