parameter_id,TCPLA_XRY_033_001
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
pvalue,0.7549479
parameter_name,Tibia length
gene_accession_id,MGI:1916043
analysis_id,5924jv0v9p5wksp
mouse_strain,C57BL
