analysis_id,69zyk877xek69g3
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
pvalue,0.720877
parameter_id,HMGULA_CBC_003_001
parameter_name,Chloride
mouse_strain,C57BL
mouse_life_stage,Early adult
