parameter_id,JAXLA_CBC_015_001
mouse_strain,C50BL
analysis_id,1uw15zl7fh712wg
pvalue,0.2388108
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
gene_symbol,Opn3
parameter_name,Total cholesterol
